note_id,issuer,underlying,issue_date,S0,maturity,coupon_rate,ki_barrier,estimated_value,atm_iv,gbm_fv,heston_fv,scp,es_gap,outcome,realized_payoff,realized_return,quintile
JP-ORCL-202101,JPMorgan,ORCL,2021-01-20,54.92,2.0,0.02125,0.6,965.7,0.182278254760251,1023.1990216739074,1009.5094316888234,-0.9509431688823384,13.682230955687487,autocalled,1021.25,0.02125,1
JP-MGM-202303,JPMorgan,MGM,2023-03-23,41.23,2.01,0.0304,0.5,970.6,0.3538314187068492,1008.7140810037345,993.8247169284687,0.6175283071531339,114.86253459254368,autocalled,1030.4,0.03040000000000009,1
CI-SPX-202210,Citigroup,SPX,2022-10-06,3693.23,1.99,0.025875,0.75,982.7,0.23416714309281092,994.938660904045,991.2849846603077,0.8715015339692286,88.0624293890703,autocalled,1025.875,0.025875,1
HS-MSFT-202312,HSBC USA,MSFT,2023-12-07,370.95,1.26,0.008508,0.75,980.83,0.22133295761477167,994.6114878877531,989.9873428065963,1.0012657193403698,68.70350859709731,autocalled,1017.016,0.01701599999999996,1
CI-SPY-202204,Citigroup,SPY,2022-04-21,439.92,1.0,0.008917,0.85,995.6,0.2167370149624034,987.4100999998082,986.634366887762,1.3365633112238016,61.1918153643843,matured_par,1107.004,0.1070039999999999,2
JP-ROKU-202111,JPMorgan,ROKU,2021-11-12,268.45,3.01,0.043125,0.6,968.1,0.42765774740591644,981.3032676969937,984.5514631142076,1.544853688579235,77.27928404163501,matured_loss,328.5412888678787,-0.6714587111321214,2
HS-AMD-202311,HSBC Bank,AMD,2023-11-22,120.62,3.0,0.035,0.6,967.86,0.4074664199450047,981.2076477478083,981.9500115073413,1.8049988492658713,78.65861379651417,autocalled,1035.0,0.035,2
GS-MU-202304,GS Finance,MU,2023-04-25,61.46,2.0,0.03145,0.5,982.0,0.39944715219901905,991.1352257269865,981.2897407330569,1.8710259266943128,108.20294876799505,autocalled,1031.45,0.03145000000000005,2
HS-BA-202209,HSBC USA,BA,2022-09-16,144.29,1.1,0.015208,0.67,972.8,0.40530828983593026,980.6644039067115,978.2606077039807,2.1739392296019333,92.43399097997718,autocalled,1030.416,0.03041599999999994,3
JP-DIS-202306,JPMorgan,DIS,2023-06-30,88.94,2.01,0.008417,0.7,978.3,0.29962465341967076,977.7976609317772,977.190463075674,2.280953692432604,64.69294595510866,autocalled,1042.085,0.04208500000000004,3
HS-ORCL-202602,HSBC USA,ORCL,2026-02-27,147.89,1.49,0.05,0.5,977.56,0.56388083548575,979.54602327241,976.3524616322384,2.3647538367761625,95.91599684053512,autocalled,1050.0,0.05,3
MO-AMZN-202310,Morgan Stanley,AMZN,2023-10-26,119.57,1.51,0.03,0.7,972.2,0.342645536326238,966.0509461313881,966.0813080504369,3.3918691949563136,99.39423177019353,autocalled,1030.0,0.03,3
MO-BAC-202304,Morgan Stanley,BAC,2023-04-20,34.12,2.01,0.025375,0.7,971.1,0.315483433609388,963.6875660926986,965.0765161460541,3.492348385394587,89.76751615235361,autocalled,1101.5,0.1015,4
GS-ICLN-202101,GS Finance,ICLN,2021-01-29,30.14,1.51,0.0275,0.6,950.0,0.39087469065463964,964.5120118368449,960.5075016706347,3.9492498329365278,104.50805018897677,matured_loss,877.048802771312,-0.12295119722868798,4
GS-GM-202102,GS Finance,GM,2021-02-05,50.68,3.0,0.02675,0.5,934.0,0.42797740078550695,955.492229362431,957.8929234878298,4.210707651217024,79.58259953997046,autocalled,1026.75,0.02675,4
JP-F-202102,JPMorgan,F,2021-02-23,11.64,1.0,0.025,0.7,974.2,0.35850439610049784,959.9849210710523,956.527013096169,4.347298690383104,105.87510122014373,autocalled,1025.0,0.025,4
JP-BA-202203,JPMorgan,BA,2022-03-24,189.06,1.01,0.03625,0.7,975.4,0.4299999392923007,950.4069115251307,951.6981086921919,4.830189130780809,107.78523402430909,autocalled,1108.75,0.10875,5
JP-PYPL-202309,JPMorgan,PYPL,2023-09-21,58.12,1.01,0.03125,0.7,978.8,0.4136946788383749,948.2662379355934,948.7839762585297,5.121602374147028,107.36436103012784,autocalled,1031.25,0.03125,5
HS-NVDA-202204,HSBC USA,NVDA,2022-04-18,212.25,1.26,0.012292,0.6,955.0,0.6753691492169619,917.3128425092202,920.1286838610947,7.987131613890528,62.704397076019006,matured_loss,223.76442629541188,-0.7762355737045881,5
GS-VLO-202101,GS Finance,VLO,2021-01-08,57.32,5.01,0.0275,0.55,903.0,0.783850239724663,816.018460064027,835.4067736234002,16.459322637659977,10.564145610244935,autocalled,1027.5,0.0275,5
